,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,000534,万泽股份,106.0343,0.0664,,0.1423,15.1101
1,000627,天茂集团,56.8236,0.0708,39.2436,0.0844,295.9926
2,000918,嘉凯城,12.6572,0.07200000000000001,,0.0808,9.8604
3,000638,万方发展,12.2882,0.1937,,0.2317,24.8385
4,002828,贝肯能源,9.764,0.0465,,0.3282,32.9445
5,000567,海德股份,9.2533,0.2936,19.9289,0.3613,36.1291
6,000010,美丽生态,7.4521,0.2049,,0.4823,48.7309
7,000585,*ST东电,6.1549,0.0926,,0.18600000000000003,30.0521
8,000537,广宇发展,5.3494,0.0476,,0.057,8.7095
9,300023,宝德股份,4.9724,0.11199999999999999,102.4922,0.1388,16.0355
10,000736,中交地产,4.3566,0.0411,,0.0464,8.3684
11,000548,湖南投资,4.0681,0.0788,436.9032,0.2343,23.4967
12,600892,大晟文化,3.3042,0.039,13.7294,0.1095,11.0267
13,600598,北大荒,3.0471,0.1921,7.9152,0.4903,49.4912
14,600695,绿庭投资,2.9726,0.023,1.1025,0.0529,10.232999999999999
15,600854,春兰股份,2.9406,0.0581,,0.2423,24.5469
16,600683,京投发展,2.5323,0.0133,,0.0149,2.2685
17,002670,国盛金控,2.4918,0.0283,20.3529,0.0517,7.8539
18,002447,晨鑫科技,2.4582,0.0406,5.8254,0.3074,60.7189
19,000820,神雾节能,2.1322,0.239,4.3852,0.5977,70.1407
20,600052,浙江广厦,2.0355,0.0524,11.6403,0.1011,10.5925
21,002244,滨江集团,2.0214,0.0483,6.435,0.0693,8.5701
22,300191,潜能恒信,1.9866,0.0072,,0.1139,11.7608
23,600106,重庆路桥,1.9799,0.0172,2.4592,0.0357,36.0727
24,000014,沙河股份,1.9789,0.1114,,0.2058,29.5715
25,002718,友邦吊顶,1.8529,0.1243,10.0902,0.5984,60.1011
26,002337,赛象科技,1.6269,0.0315,,0.1308,13.2557
27,600621,华鑫股份,1.5044,0.054000000000000006,36.4225,0.1032,18.4298
28,600202,*ST哈空,1.4873,0.0407,,0.0652,8.6509
29,000831,五矿稀土,1.4616,0.0712,17.1674,1.8969999999999998,199.5045
30,600652,游久游戏,1.3012,0.0305,5.1878,0.2831,28.8346
31,601188,龙江交通,1.3012,0.0261,1.9554,0.0842,8.5509
32,600225,天津松江,1.1797,0.0224,0.8822,0.0257,5.7442
33,600091,ST明科,1.1652,0.0121,0.8701,0.0429,16.1579
34,600208,新湖中宝,1.1238,0.0141,4.4386,0.0187,4.3115
35,000514,渝开发,1.1148,0.0278,12.1893,0.0568,11.4007
36,000886,海南高速,1.0723,0.0671,3.8914,0.3811,41.7748
37,600727,鲁北化工,1.0411,0.0974,26.2138,0.43,42.9957
38,600368,五洲交通,1.0384,0.0351,3.0944,0.0485,23.8357
39,002464,众应互联,0.9874,0.0408,1.6821,0.0983,14.860999999999999
40,600962,国投中鲁,0.9388,0.1226,37.0415,0.3183,32.6088
41,600634,*ST富控,0.9209999999999999,0.0292,2.2849,0.0805,10.8401
42,000301,东方市场,0.9142,0.0373,53.1516,0.1013,21.406
43,000791,甘肃电投,0.9071,0.0114,,0.0155,11.2273
44,600696,ST匹凸,0.8723,0.0967,16.0342,0.1085,25.834
45,600213,亚星客车,0.871,0.0587,29.129,0.0618,6.6186
46,300741,华宝股份,0.8696,,1.7283,,
47,000670,盈方微,0.8657,0.0905,15.2027,0.8755,93.7699
48,300224,正海磁材,0.8537,0.0332,39.05,0.1597,17.2192
49,600193,*ST创兴,0.8439,0.0677,5.1274,0.4789,47.887
50,603500,祥和实业,0.8305,,3.4176,,
51,000909,数源科技,0.8212,0.0406,36.2856,0.0542,7.4523
52,002903,宇环数控,0.8043,,2.5613,,
53,300679,电连技术,0.8006,,2.6414,,
54,603508,思维列控,0.79,0.0327,2.105,0.5534,56.2834
55,600223,鲁商置业,0.7739,0.0135,27.9301,0.0143,1.7828
56,300263,隆华节能,0.769,0.0431,13.5636,0.1742,19.5042
57,000571,新大洲A,0.7601,0.0215,,0.0585,8.7097
58,002535,林州重机,0.7481,0.0253,159.0039,0.0445,4.8756
59,300293,蓝英装备,0.7475,0.0223,11.4352,0.0356,3.6222
60,601518,吉林高速,0.7388,0.0177,2.667,0.031,23.1765
61,002039,黔源电力,0.7340000000000001,0.0131,,0.0173,19.936
62,600674,川投能源,0.7336,0.0057,0.1912,0.0264,5.1564
63,600900,长江电力,0.7302,0.0191,2.1171,0.034,8.8577
64,000718,苏宁环球,0.7255,0.0189,9.6336,0.0315,3.6942
65,002320,海峡股份,0.7047,0.0543,2.222,0.6506,105.0506
66,600162,香江控股,0.7043,0.021,3.6398,0.0367,4.0787
67,002621,三垒股份,0.6959,0.0094,2.5706,0.2791,27.9116
68,601872,招商轮船,0.6801,0.0306,2.2882,0.0675,28.2317
69,600269,赣粤高速,0.6773,0.025,1.8379,0.049,21.7575
70,000429,粤高速A,0.6769,0.0293,1.4551,0.0671,31.5243
71,600012,皖通高速,0.67,0.0359,1.6112,0.1318,56.799
72,002818,富森美,0.6683,0.0407,1.2646,0.2083,21.445999999999998
73,000151,中成股份,0.6678,0.1517,16.4772,0.2666,26.7544
74,600977,中国电影,0.6644,0.077,3.8291,0.2469,27.5169
75,300215,电科院,0.6627,0.0213,11.5926,0.0431,6.0674
76,002558,巨人网络,0.6465,0.0524,1.3504,0.373,45.4076
77,002619,艾格拉斯,0.644,0.0204,1.4638,0.1645,17.0074
78,600007,中国国贸,0.6438,0.0335,2.4427,0.0736,14.4704
79,300696,爱乐达,0.6428,0.0317,1.367,0.1946,55.144
