,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603336,宏辉果蔬,,,,,,2646.19,,,10-31
1,300550,和仁科技,0.17,,,6.04,-0.56,1012.15,,,10-17
2,300549,优德精密,,,,,,1840.72,,,09-29
3,300546,雄帝科技,0.59,,,9.62,-0.33,2363.42,,,09-27
4,603160,汇顶科技,0.36,,,15.53,0.39,14465.55,,,09-20
5,002815,崇达技术,1.36,,,17.1,,15271.56,,,09-12
6,603843,正平股份,0.08,,,3.76,-1.6,2399.31,,,09-02
7,603986,兆易创新,0.83,,,13.9,,6236.72,,,08-31
8,600977,中国电影,0.32,,,10.91,,45045.7,,,08-30
9,603069,海汽集团,0.21,,,7.74,,5021.12,,,08-30
10,002789,建艺集团,0.65,,,7.49,,3954.22,,,08-29
11,603919,金徽酒,0.32,,,11.87,,7759.62,,,08-29
12,603726,朗迪集团,0.56,,,9.88,,3978.25,,,08-29
13,300515,三德科技,0.23,,,8.39,0.09,1733.79,,,08-27
14,300509,新美星,0.41,,,9.01,0.09,2480.56,,,08-27
15,603520,司太立,0.47,,,9.7,,4202.71,,,08-27
16,002805,丰元股份,0.26,,,4.93,,1886.96,,,08-27
17,300517,海波重科,0.22,,,5.95,0.33,1694.04,,,08-27
18,603027,千禾味业,0.27,,,7.78,,3246.27,,,08-26
19,300516,久之洋,0.56,,,15.86,0.17,5071.72,,,08-26
20,603701,德宏股份,0.51,,,11.75,,2996.51,,,08-26
21,603528,多伦科技,1.09,,,36.71,,16965.47,,,08-26
22,300508,维宏股份,0.68,,,18.75,0.63,3053.46,,,08-26
23,603029,天鹅股份,0.17,,,2.52,,1181.16,,,08-26
24,300511,雪榕生物,-0.11,,,-2.4,0.22,-1226.42,,,08-26
25,300521,爱司凯,0.24,,,7.32,0.21,1421.85,,,08-25
26,300538,同益股份,,,,,,1655.67,,,08-25
27,603822,嘉澳环保,0.34,,,4.9,,1854.02,,,08-25
28,603028,赛福天,0.14,,,6.2,,2299.35,,,08-25
